subject,acc,RT,Code,seq,actionseq,timeseq,trial
28329,1,0.566964199999347,1,5,1,239,78
28329,1,0.621466899989173,2,2,2,240,78
28329,1,0.77147480007261,2,1,2,241,78
28329,1,0.530413100030273,3,4,3,242,78
28329,1,0.395065299933776,3,3,3,243,78
28329,1,0.474085400113836,3,3,3,244,78
28329,1,0.557543599978089,2,2,2,245,78
28329,1,0.445300200022757,1,5,1,246,78
28329,1,0.385806600097567,1,6,1,247,78
28329,1,0.52044490003027,2,1,2,248,78
28329,1,0.425849300110713,2,1,2,249,78
28329,1,0.527378200087696,3,4,3,250,78
28329,1,0.63271369994618,2,1,2,251,78
28329,1,0.493228300008923,1,6,1,252,78
28329,1,0.487895200029016,2,2,2,253,78
28329,1,0.802598899928853,3,3,3,254,78
28329,1,0.608691799920052,1,5,1,255,78
28329,1,0.91070370003581,3,4,3,256,78
28329,1,0.592318099923432,3,4,3,257,78
28329,1,0.68734489986673,3,3,3,258,78
28329,1,0.585945799946785,1,5,1,259,78
28329,1,0.632775299949571,3,3,3,260,78
28329,1,0.613441300112754,2,1,2,261,78
28329,0,0.530924499966204,1,2,2,262,78
28329,1,0.459407000103965,1,6,1,263,78
28329,1,0.447188799967989,1,6,1,264,78
28329,1,0.754969199886546,2,2,2,265,78
28329,1,0.499367299955338,1,5,1,266,78
28329,1,0.661383999977261,3,4,3,267,78
28329,1,0.56101579987444,3,3,3,268,78
28329,1,0.617299099918455,1,6,1,269,78
28329,1,1.10268160002306,3,4,3,270,78
28329,1,0.504754499997944,2,2,2,271,78
28329,1,0.546489499974996,2,1,2,272,78
28329,1,0.578864299925044,2,2,2,273,78
28329,0,0.931115000043064,1,1,3,274,39
28329,0,0.756074599921703,1,2,2,275,39
28329,0,0.459644900169224,1,3,3,276,39
28329,0,0.863671800121665,2,3,3,277,39
28329,-1,-1,-1,1,3,278,39
28329,1,0.869413499953225,3,3,3,279,39
28329,1,0.568691600114107,2,2,2,280,39
28329,0,0.480141100008041,2,1,3,281,39
28329,1,0.857999200001359,2,2,2,282,39
28329,1,0.534726700047031,3,1,3,283,39
28329,1,0.679134299978614,2,2,2,284,39
28329,1,0.290346200112253,3,3,3,285,39
28329,1,0.365480000153184,3,1,3,286,39
28329,0,0.452559700002894,2,3,3,287,39
28329,1,0.432643299922347,2,2,2,288,39
28329,1,0.749555800110102,2,2,2,289,39
28329,1,0.365317799849436,3,1,3,290,39
28329,1,0.564308400033042,3,1,3,291,39
28329,1,0.371803099988028,3,3,3,292,39
28329,1,0.546964399982244,2,2,2,293,39
28329,0,0.771431900095195,2,3,3,294,39
28329,1,0.61090170009993,3,3,3,295,39
28329,1,1.01678470009938,3,1,3,296,39
28329,1,0.365933699999005,2,2,2,297,39
28329,0,0.517075300216675,2,3,3,298,39
28329,1,1.12666819989681,3,1,3,299,39
28329,1,0.847998199984431,3,3,3,300,39
28329,1,0.32389930007048,2,2,2,301,39
28329,1,0.461025199852884,3,1,3,302,39
28329,1,0.577300099888816,2,2,2,303,39
28329,0,0.424606200074777,3,2,2,304,39
28329,1,0.374077399959788,3,3,3,305,39
28329,1,0.493113599950448,3,1,3,306,39
28329,1,0.784196499967948,3,3,3,307,39
28329,1,0.654495100025088,3,1,3,308,39
28329,1,0.530614000046626,2,2,2,309,39
28329,1,0.547069899970666,2,2,2,310,39
28329,1,0.475382599979639,3,1,3,311,39
28329,1,0.718461300013587,3,3,3,312,39
28329,1,0.54911860008724,3,1,3,313,78
28329,1,1.08528549992479,3,2,3,314,78
28329,0,0.75218449998647,3,3,1,315,78
28329,0,1.06363960006274,3,4,1,316,78
28329,0,0.37147709983401,3,5,2,317,78
28329,0,0.554774299962446,3,6,2,318,78
28329,1,0.490735499886796,3,1,3,319,78
28329,1,0.93297309987247,2,5,2,320,78
28329,1,0.774011200061068,3,2,3,321,78
28329,0,0.853507700143382,1,6,2,322,78
28329,1,0.67307210015133,1,3,1,323,78
28329,1,0.652736300136894,1,3,1,324,78
28329,1,0.576579299988225,1,4,1,325,78
28329,1,0.711901900125667,3,2,3,326,78
28329,1,0.705987300025299,1,4,1,327,78
28329,1,0.740069700172171,2,6,2,328,78
28329,1,0.596127100056037,3,1,3,329,78
28329,1,0.434374100062996,2,5,2,330,78
28329,1,0.51939389994368,3,1,3,331,78
28329,1,0.400797600159422,3,2,3,332,78
28329,1,0.75075830006972,1,3,1,333,78
28329,1,0.366664400091395,1,4,1,334,78
28329,1,0.718051500152797,2,5,2,335,78
28329,1,0.487529400037602,2,6,2,336,78
28329,1,0.649776600068435,1,4,1,337,78
28329,1,0.437976600136608,1,3,1,338,78
28329,1,0.666582599980757,1,4,1,339,78
28329,1,0.629856399958953,3,1,3,340,78
28329,1,0.611481699859723,2,5,2,341,78
28329,1,0.625413300003856,2,5,2,342,78
28329,1,0.590694900136441,3,2,3,343,78
28329,1,0.629396700067446,2,6,2,344,78
28329,1,0.578781699994579,1,3,1,345,78
28329,1,0.705716600175947,2,5,2,346,78
28329,1,0.635936700040475,3,2,3,347,78
28329,1,0.56074700015597,3,1,3,348,78
28329,1,0.560627999948338,2,6,2,349,78
28329,1,0.576522200135514,1,4,1,350,78
28329,1,0.424155900022015,1,3,1,351,78
28329,1,0.613126100040972,2,6,2,352,78
28329,1,0.554715499980375,3,2,3,353,78
28329,1,0.754712500143796,2,6,2,354,78
28329,1,0.554829700151458,3,1,3,355,78
28329,1,0.538405699888244,2,5,2,356,78
28329,1,0.547385599929839,3,2,3,357,78
28329,1,0.53928290004842,3,1,3,358,78
28329,1,0.612087899819016,1,4,1,359,78
28329,1,0.338138800114393,1,3,1,360,78
28329,1,0.498513299971819,1,3,1,361,78
28329,1,0.460790899815038,3,2,3,362,78
28329,1,0.568536599865183,2,5,2,363,78
28329,1,0.472108300076798,2,6,2,364,78
28329,1,0.331505000125617,3,1,3,365,78
28329,1,0.444030500017107,3,1,3,366,78
28329,1,0.600833400152624,1,4,1,367,78
28329,1,0.558530600043014,3,1,3,368,78
28329,1,0.590733899967745,2,6,2,369,78
28329,1,0.557522300165147,3,2,3,370,78
28329,1,0.669144199928269,1,3,1,371,78
28329,1,0.488467599963769,2,5,2,372,78
28329,1,0.611441300017759,1,4,1,373,78
28329,1,0.54529509996064,1,4,1,374,78
28329,1,0.602038500132039,1,3,1,375,78
28329,1,0.623756699962541,2,5,2,376,78
28329,1,0.605374699924141,1,3,1,377,78
28329,1,0.611300999997184,3,1,3,378,78
28329,1,0.625432200031355,3,2,3,379,78
28329,1,0.582412900170311,2,6,2,380,78
28329,1,0.413323599845171,2,6,2,381,78
28329,1,0.498730099992827,3,2,3,382,78
28329,1,0.588698599953204,2,5,2,383,78
28329,1,0.603995600016788,1,4,1,384,78
28329,1,0.457549700047821,1,3,1,385,78
28329,1,0.541262599872425,2,6,2,386,78
28329,1,0.670047400053591,1,4,1,387,78
28329,1,0.561460300115868,3,2,3,388,78
28329,1,0.561350600095466,3,1,3,389,78
28329,1,0.633349099894986,3,2,3,390,78
28329,0,0.628426800016314,3,1,1,391,78
28329,0,0.841879599960521,3,2,1,392,78
28329,0,0.44659770000726,3,3,2,393,78
28329,0,0.290651899995282,3,4,2,394,78
