Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
99.000000	4062.051282	4501.025641	4208.205128	4463.076923	4123.589744	4543.076923	4204.615385	4840.000000	4244.102564	4471.794872	4228.205128	4348.717949	4460.512821	4468.205128	1611.000000	2099.000000	33.977000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
100.000000	4062.051282	4497.948718	4209.230769	4461.538462	4123.076923	4544.102564	4204.615385	4842.051282	4244.615385	4471.282051	4229.230769	4347.692308	4462.564103	4465.641026	1607.000000	2107.000000	33.985000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
101.000000	4064.102564	4497.435897	4209.743590	4459.487179	4121.025641	4543.589744	4201.538462	4840.000000	4245.128205	4471.794872	4227.179487	4351.282051	4463.589744	4469.743590	1615.000000	2103.000000	33.993000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
102.000000	4064.615385	4502.564103	4207.692308	4462.051282	4123.589744	4543.589744	4204.615385	4840.000000	4242.051282	4472.307692	4225.641026	4353.333333	4460.000000	4470.769231	1611.000000	2103.000000	34.000000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
103.000000	4066.153846	4504.615385	4206.153846	4461.538462	4121.538462	4538.461538	4201.025641	4844.615385	4241.538462	4472.820513	4232.307692	4352.307692	4465.641026	4468.717949	1611.000000	2103.000000	34.008000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
104.000000	4062.564103	4498.974359	4207.692308	4460.512821	4122.051282	4542.564103	4200.000000	4842.051282	4243.589744	4472.307692	4234.358974	4349.743590	4465.641026	4465.128205	1607.000000	2107.000000	34.016000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
105.000000	4061.538462	4497.948718	4208.205128	4461.025641	4123.076923	4543.076923	4199.487179	4841.025641	4244.615385	4470.769231	4233.333333	4353.333333	4463.589744	4467.692308	1611.000000	2103.000000	34.024000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
106.000000	4062.051282	4500.512821	4207.692308	4461.538462	4123.076923	4543.589744	4205.641026	4839.487179	4240.512821	4471.282051	4232.307692	4353.333333	4462.564103	4468.717949	1607.000000	2103.000000	34.032000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
107.000000	4065.128205	4500.512821	4205.128205	4458.974359	4120.000000	4542.051282	4205.641026	4840.000000	4241.025641	4473.846154	4232.820513	4351.794872	4463.589744	4469.743590	1611.000000	2107.000000	34.040000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
108.000000	4063.076923	4502.564103	4202.051282	4461.025641	4123.589744	4545.641026	4207.179487	4841.025641	4244.102564	4473.333333	4232.307692	4351.282051	4461.538462	4468.717949	1611.000000	2103.000000	34.048000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
